web-scraper-order,web-scraper-start-url,logos,logos-href,nameV,capacity
"1584816428-185","https://www.automobiledimension.com/","MAZDA","https://www.automobiledimension.com/mazda-car-dimensions.html","New Mazda CX-30 2020","New Mazda 2 2020L x W x H: 4070 x 1695 x 1495 mm
Boot capacity: 250 dm3"
"1584816332-93","https://www.automobiledimension.com/","SEAT","https://www.automobiledimension.com/seat-car-dimensions.html","SEAT Ibiza","New SEAT Mii electric 2020L x W x H: 3556 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816366-174","https://www.automobiledimension.com/","MINI","https://www.automobiledimension.com/mini-car-dimensions.html","MINI 3-door","MINI 3-doorL x W x H: 3821 x 1727 x 1414 mm
Boot capacity: 211 dm3"
"1584816610-229","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","Kia Stinger","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816342-125","https://www.automobiledimension.com/","PORSCHE","https://www.automobiledimension.com/porsche-car-dimensions.html","Porsche Panamera Executive","Porsche 718 BoxsterL x W x H: 4379 x 1801 x 1281 mm
Boot capacity: 280 dm3"
"1584816640-264","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","New Honda e 2020","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
"1584816534-204","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","New Land Rover Defender 110 2020","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816314-47","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota Prius+","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816618-240","https://www.automobiledimension.com/","JAGUAR","https://www.automobiledimension.com/jaguar-car-dimensions.html","Jaguar XF Sportbrake","New Jaguar F-TYPE Coupe 2020L x W x H: 4470 x 1923 x 1311 mm
Boot capacity: 336 dm3"
"1584816494-194","https://www.automobiledimension.com/","LEXUS","https://www.automobiledimension.com/lexus-car-dimensions.html","Lexus IS","Lexus CTL x W x H: 4355 x 1765 x 1455 mm
Boot capacity: 375 dm3"
